Plant_ID,Scientific Name,recordID,scientificName,acceptedName,commonName,regionGroup,primaryMicroregion,fineHabitatTags,fineHabitatSummary,moistureWaterLight,wetlandStatusSummary,confidence,reviewNeeded,publicStatus,publicationNote,sourceUseNote,datasetVersion,lastUpdated,onlineSlug,lbjProfileURL,usdaPlantsURL,fnaSearchURL,fnaDirectCandidateURL,wetlandPlantListURL,nrcsWebSoilSurveyURL,nrcsEDITURL,epaEcoregionsURL,tpwdEMSURL,secondaryMicroregions
Adiantum pedatum,Adiantum pedatum,1,Adiantum pedatum,Adiantum pedatum,Maidenhair Fern,Woodland and karst upland systems,Mesic Canyons & Seeps,limestone seep or spring-influenced shade,limestone seep or spring-influenced shade,"Moist; Medium; Part Shade , Shade; Low; Low","Region: AGCP AK AW CB EMP GP HI MW NCNE WMVE Status: FACU FAC FAC FACU FACU FAC | This information is derived from: U.S. Army Corps of Engineers. (2023). 2022 National Wetland Plant List, version 3.6. U.S. Army Engineer Research and Development Center, Vicksburg, MS. | https://wetland-plants.usace.army.mil/ | . | Click here | for map of regions.",High,No,Publish now,Literature-supported microregion assignment; field/GIS confirmation can be added in a later release.,"LBJ/USDA/FNA/USACE support species habitat traits; NRCS/EPA/TPWD links support site/soil/ecoregion/vegetation validation, not species identity.",v1-online-public-draft,2026-05-27,adiantum-pedatum,https://www.wildflower.org/plants/result.php?id_plant=ADPE,https://plants.usda.gov/home/basicSearchResults?searchString=Adiantum+pedatum,https://floranorthamerica.org/Special:Search?search=Adiantum+pedatum,https://floranorthamerica.org/Adiantum_pedatum,https://wetland-plants.sec.usace.army.mil/,https://websoilsurvey.nrcs.usda.gov/app/,https://edit.sc.egov.usda.gov/,https://www.epa.gov/eco-research/ecoregions,https://tpwd.texas.gov/landwater/land/programs/landscape-ecology/ems/,
Equisetum hyemale,Equisetum hyemale,2,Equisetum hyemale,Equisetum hyemale,"Scouring-rush Horsetail, Horsetail, Scouring Rush, Canuela",Riparian and floodplain systems,Riparian Banks,stream/river bank; floodplain/bottomland; marsh/swamp/wetland; seep/wet ledge; limestone/caliche/calcareous; rocky/ledge/slope; prairie/open field; deep clay/swale; woodland/wood edge; disturbed/roadside/ditch; dry upland; moist mesic; sunny open; shade/part shade,stream/alluvial flats/wet ledges/shallow water,"Moist , Wet; Medium; Sun , Part Shade , Shade","Region: AGCP AK AW CB EMP GP HI MW NCNE WMVE Status: FACW FACW FACW FACW FACW FACW FAC FACW | This information is derived from: U.S. Army Corps of Engineers. (2023). 2022 National Wetland Plant List, version 3.6. U.S. Army Engineer Research and Development Center, Vicksburg, MS. | https://wetland-plants.usace.army.mil/ | . | Click here | for map of regions.",High,No,Publish now,Literature-supported microregion assignment; field/GIS confirmation can be added in a later release.,"LBJ/USDA/FNA/USACE support species habitat traits; NRCS/EPA/TPWD links support site/soil/ecoregion/vegetation validation, not species identity.",v1-online-public-draft,2026-05-27,equisetum-hyemale,https://www.wildflower.org/plants/result.php?id_plant=EQHY,https://plants.usda.gov/home/basicSearchResults?searchString=Equisetum+hyemale,https://floranorthamerica.org/Special:Search?search=Equisetum+hyemale,https://floranorthamerica.org/Equisetum_hyemale,https://wetland-plants.sec.usace.army.mil/,https://websoilsurvey.nrcs.usda.gov/app/,https://edit.sc.egov.usda.gov/,https://www.epa.gov/eco-research/ecoregions,https://tpwd.texas.gov/landwater/land/programs/landscape-ecology/ems/,Aquatic / Spring Runs; Mesic Canyons & Seeps; Karst Outcrops; Shallow Upland Prairie
Marsilea macropoda,Marsilea macropoda,3,Marsilea macropoda,Marsilea macropoda,"Bigfoot Water-clover, Water-clover, Clover-fern, Largefoot Pepperwort","Aquatic, spring-run, and wetland systems",Aquatic / Spring Runs,pond/lake margin or shallow open water,pond/lake margin or shallow open water,"Wet; Medium , High; Sun , Part Shade , Shade","Region: AGCP AK AW CB EMP GP HI MW NCNE WMVE Status: OBL OBL | This information is derived from: U.S. Army Corps of Engineers. (2023). 2022 National Wetland Plant List, version 3.6. U.S. Army Engineer Research and Development Center, Vicksburg, MS. | https://wetland-plants.usace.army.mil/ | . | Click here | for map of regions.",High,No,Publish now,Literature-supported microregion assignment; field/GIS confirmation can be added in a later release.,"LBJ/USDA/FNA/USACE support species habitat traits; NRCS/EPA/TPWD links support site/soil/ecoregion/vegetation validation, not species identity.",v1-online-public-draft,2026-05-27,marsilea-macropoda,https://www.wildflower.org/plants/result.php?id_plant=MAMA9,https://plants.usda.gov/home/basicSearchResults?searchString=Marsilea+macropoda,https://floranorthamerica.org/Special:Search?search=Marsilea+macropoda,https://floranorthamerica.org/Marsilea_macropoda,https://wetland-plants.sec.usace.army.mil/,https://websoilsurvey.nrcs.usda.gov/app/,https://edit.sc.egov.usda.gov/,https://www.epa.gov/eco-research/ecoregions,https://tpwd.texas.gov/landwater/land/programs/landscape-ecology/ems/,
Andropogon gerardii,Andropogon gerardii,4,Andropogon gerardii,Andropogon gerardii,"Big Bluestem, Tall Bluestem, Turkeyfoot",Upland prairie and open grassland systems,Shallow Upland Prairie,sandy/loamy upland prairie or open field,sandy/loamy upland prairie or open field,"Moist; Low , Medium; Sun , Part Shade; High; High","Region: AGCP AK AW CB EMP GP HI MW NCNE WMVE Status: FAC FACU FAC FACU FAC FACU FACU | This information is derived from: U.S. Army Corps of Engineers. (2023). 2022 National Wetland Plant List, version 3.6. U.S. Army Engineer Research and Development Center, Vicksburg, MS. | https://wetland-plants.usace.army.mil/ | . | Click here | for map of regions.",High,No,Publish now,Literature-supported microregion assignment; field/GIS confirmation can be added in a later release.,"LBJ/USDA/FNA/USACE support species habitat traits; NRCS/EPA/TPWD links support site/soil/ecoregion/vegetation validation, not species identity.",v1-online-public-draft,2026-05-27,andropogon-gerardii,https://www.wildflower.org/plants/result.php?id_plant=ANGE,https://plants.usda.gov/home/basicSearchResults?searchString=Andropogon+gerardii,https://floranorthamerica.org/Special:Search?search=Andropogon+gerardii,https://floranorthamerica.org/Andropogon_gerardii,https://wetland-plants.sec.usace.army.mil/,https://websoilsurvey.nrcs.usda.gov/app/,https://edit.sc.egov.usda.gov/,https://www.epa.gov/eco-research/ecoregions,https://tpwd.texas.gov/landwater/land/programs/landscape-ecology/ems/,
Andropogon glomeratus,Andropogon glomeratus,5,Andropogon glomeratus,Andropogon glomeratus,"Bushy Bluestem, Brushy Bluestem",Upland prairie and open grassland systems,Shallow Upland Prairie,sandy/loamy upland prairie or open field,sandy/loamy upland prairie or open field,"Moist , Wet; High; Sun","Region: AGCP AK AW CB EMP GP HI MW NCNE WMVE Status: FACW FACW FAC FACW FACW FAC FACW FACW FACW | This information is derived from: U.S. Army Corps of Engineers. (2023). 2022 National Wetland Plant List, version 3.6. U.S. Army Engineer Research and Development Center, Vicksburg, MS. | https://wetland-plants.usace.army.mil/ | . | Click here | for map of regions.",High,No,Publish now,Literature-supported microregion assignment; field/GIS confirmation can be added in a later release.,"LBJ/USDA/FNA/USACE support species habitat traits; NRCS/EPA/TPWD links support site/soil/ecoregion/vegetation validation, not species identity.",v1-online-public-draft,2026-05-27,andropogon-glomeratus,https://www.wildflower.org/plants/result.php?id_plant=ANGL2,https://plants.usda.gov/home/basicSearchResults?searchString=Andropogon+glomeratus,https://floranorthamerica.org/Special:Search?search=Andropogon+glomeratus,https://floranorthamerica.org/Andropogon_glomeratus,https://wetland-plants.sec.usace.army.mil/,https://websoilsurvey.nrcs.usda.gov/app/,https://edit.sc.egov.usda.gov/,https://www.epa.gov/eco-research/ecoregions,https://tpwd.texas.gov/landwater/land/programs/landscape-ecology/ems/,Riparian Banks
Andropogon virginicus,Andropogon virginicus,6,Andropogon virginicus,Andropogon virginicus,Broomsedge Bluestem,Upland prairie and open grassland systems,Shallow Upland Prairie,sandy/loamy upland prairie or open field,sandy/loamy upland prairie or open field,Moist; Medium; Part Shade; High,"Region: AGCP AK AW CB EMP GP HI MW NCNE WMVE Status: FAC FAC FAC FACU FACU FACU FACU FACU FAC | This information is derived from: U.S. Army Corps of Engineers. (2023). 2022 National Wetland Plant List, version 3.6. U.S. Army Engineer Research and Development Center, Vicksburg, MS. | https://wetland-plants.usace.army.mil/ | . | Click here | for map of regions.",High,No,Publish now,Literature-supported microregion assignment; field/GIS confirmation can be added in a later release.,"LBJ/USDA/FNA/USACE support species habitat traits; NRCS/EPA/TPWD links support site/soil/ecoregion/vegetation validation, not species identity.",v1-online-public-draft,2026-05-27,andropogon-virginicus,https://www.wildflower.org/plants/result.php?id_plant=ANVI2,https://plants.usda.gov/home/basicSearchResults?searchString=Andropogon+virginicus,https://floranorthamerica.org/Special:Search?search=Andropogon+virginicus,https://floranorthamerica.org/Andropogon_virginicus,https://wetland-plants.sec.usace.army.mil/,https://websoilsurvey.nrcs.usda.gov/app/,https://edit.sc.egov.usda.gov/,https://www.epa.gov/eco-research/ecoregions,https://tpwd.texas.gov/landwater/land/programs/landscape-ecology/ems/,Upland Woodland
Aristida purpurea,Aristida purpurea,7,Aristida purpurea,Aristida purpurea,"Purple Threeawn, Purple 3-awn, Purple Three-awn, Red Threeawn",Upland prairie and open grassland systems,Shallow Upland Prairie,sandy/loamy upland prairie or open field,sandy/loamy upland prairie or open field,Dry; Low; Sun; High; High,,High,No,Publish now,Literature-supported microregion assignment; field/GIS confirmation can be added in a later release.,"LBJ/USDA/FNA/USACE support species habitat traits; NRCS/EPA/TPWD links support site/soil/ecoregion/vegetation validation, not species identity.",v1-online-public-draft,2026-05-27,aristida-purpurea,https://www.wildflower.org/plants/result.php?id_plant=ARPU9,https://plants.usda.gov/home/basicSearchResults?searchString=Aristida+purpurea,https://floranorthamerica.org/Special:Search?search=Aristida+purpurea,https://floranorthamerica.org/Aristida_purpurea,https://wetland-plants.sec.usace.army.mil/,https://websoilsurvey.nrcs.usda.gov/app/,https://edit.sc.egov.usda.gov/,https://www.epa.gov/eco-research/ecoregions,https://tpwd.texas.gov/landwater/land/programs/landscape-ecology/ems/,Karst Outcrops
Bothriochloa laguroides,Bothriochloa laguroides,8,Bothriochloa laguroides,Bothriochloa laguroides,"Silver Bluestem, Silver Beardgrass",Upland prairie and open grassland systems,Shallow Upland Prairie,open dry upland prairie/grassland,open dry upland prairie/grassland,,,High,No,Publish now,Literature-supported microregion assignment; field/GIS confirmation can be added in a later release.,"LBJ/USDA/FNA/USACE support species habitat traits; NRCS/EPA/TPWD links support site/soil/ecoregion/vegetation validation, not species identity.",v1-online-public-draft,2026-05-27,bothriochloa-laguroides,https://www.wildflower.org/plants/result.php?id_plant=BOLA2,https://plants.usda.gov/home/basicSearchResults?searchString=Bothriochloa+laguroides,https://floranorthamerica.org/Special:Search?search=Bothriochloa+laguroides,https://floranorthamerica.org/Bothriochloa_laguroides,https://wetland-plants.sec.usace.army.mil/,https://websoilsurvey.nrcs.usda.gov/app/,https://edit.sc.egov.usda.gov/,https://www.epa.gov/eco-research/ecoregions,https://tpwd.texas.gov/landwater/land/programs/landscape-ecology/ems/,
Bouteloua curtipendula,Bouteloua curtipendula,9,Bouteloua curtipendula,Bouteloua curtipendula,"Sideoats Grama, Banderilla, Banderita, Navajita",Upland prairie and open grassland systems,Shallow Upland Prairie,dry upland prairie slope,dry upland prairie slope,"Dry , Moist; Medium; Sun , Part Shade; Medium; High",,High,No,Publish now,Literature-supported microregion assignment; field/GIS confirmation can be added in a later release.,"LBJ/USDA/FNA/USACE support species habitat traits; NRCS/EPA/TPWD links support site/soil/ecoregion/vegetation validation, not species identity.",v1-online-public-draft,2026-05-27,bouteloua-curtipendula,https://www.wildflower.org/plants/result.php?id_plant=BOCU,https://plants.usda.gov/home/basicSearchResults?searchString=Bouteloua+curtipendula,https://floranorthamerica.org/Special:Search?search=Bouteloua+curtipendula,https://floranorthamerica.org/Bouteloua_curtipendula,https://wetland-plants.sec.usace.army.mil/,https://websoilsurvey.nrcs.usda.gov/app/,https://edit.sc.egov.usda.gov/,https://www.epa.gov/eco-research/ecoregions,https://tpwd.texas.gov/landwater/land/programs/landscape-ecology/ems/,Shallow Upland Prairie
Bouteloua dactyloides,Bouteloua dactyloides,10,Bouteloua dactyloides,Bouteloua dactyloides,"Buffalograss, Buffalo Grass",Upland prairie and open grassland systems,Shallow Upland Prairie,sandy/loamy upland prairie or open field,sandy/loamy upland prairie or open field,"Dry; Low , Medium; Sun; High; High","Region: AGCP AK AW CB EMP GP HI MW NCNE WMVE Status: FACU FACU FACU FACU FACU FACU UPL | This information is derived from: U.S. Army Corps of Engineers. (2023). 2022 National Wetland Plant List, version 3.6. U.S. Army Engineer Research and Development Center, Vicksburg, MS. | https://wetland-plants.usace.army.mil/ | . | Click here | for map of regions.",High,No,Publish now,Literature-supported microregion assignment; field/GIS confirmation can be added in a later release.,"LBJ/USDA/FNA/USACE support species habitat traits; NRCS/EPA/TPWD links support site/soil/ecoregion/vegetation validation, not species identity.",v1-online-public-draft,2026-05-27,bouteloua-dactyloides,https://www.wildflower.org/plants/result.php?id_plant=BODA2,https://plants.usda.gov/home/basicSearchResults?searchString=Bouteloua+dactyloides,https://floranorthamerica.org/Special:Search?search=Bouteloua+dactyloides,https://floranorthamerica.org/Bouteloua_dactyloides,https://wetland-plants.sec.usace.army.mil/,https://websoilsurvey.nrcs.usda.gov/app/,https://edit.sc.egov.usda.gov/,https://www.epa.gov/eco-research/ecoregions,https://tpwd.texas.gov/landwater/land/programs/landscape-ecology/ems/,
