Plant_ID,Alias,Alias_Type,Normalized_Alias
Adiantum pedatum,Adiantum pedatum,scientific,adiantum pedatum
Adiantum pedatum,Maidenhair Fern,common_name,maidenhair fern
Equisetum hyemale,Equisetum hyemale,scientific,equisetum hyemale
Equisetum hyemale,Scouring-rush Horsetail,common_name,scouring rush horsetail
Equisetum hyemale,Horsetail,common_name,horsetail
Equisetum hyemale,Scouring Rush,common_name,scouring rush
Equisetum hyemale,Canuela,common_name,canuela
Marsilea macropoda,Marsilea macropoda,scientific,marsilea macropoda
Marsilea macropoda,Bigfoot Water-clover,common_name,bigfoot water clover
Marsilea macropoda,Water-clover,common_name,water clover
Marsilea macropoda,Clover-fern,common_name,clover fern
Marsilea macropoda,Largefoot Pepperwort,common_name,largefoot pepperwort
Marsilea macropoda,Bigfoot Waterclover,npsot_common_name,bigfoot waterclover
Andropogon gerardii,Andropogon gerardii,scientific,andropogon gerardii
Andropogon gerardii,Big Bluestem,common_name,big bluestem
Andropogon gerardii,Tall Bluestem,common_name,tall bluestem
Andropogon gerardii,Turkeyfoot,common_name,turkeyfoot
Andropogon glomeratus,Andropogon glomeratus,scientific,andropogon glomeratus
Andropogon glomeratus,Bushy Bluestem,common_name,bushy bluestem
Andropogon glomeratus,Brushy Bluestem,common_name,brushy bluestem
Andropogon virginicus,Andropogon virginicus,scientific,andropogon virginicus
Andropogon virginicus,Broomsedge Bluestem,common_name,broomsedge bluestem
Andropogon virginicus,Broomsedge,npsot_common_name,broomsedge
Aristida purpurea,Aristida purpurea,scientific,aristida purpurea
Aristida purpurea,Purple Threeawn,common_name,purple threeawn
Aristida purpurea,Purple 3-awn,common_name,purple 3 awn
Aristida purpurea,Purple Three-awn,common_name,purple three awn
Aristida purpurea,Red Threeawn,common_name,red threeawn
Bothriochloa laguroides,Bothriochloa laguroides,scientific,bothriochloa laguroides
Bothriochloa laguroides,Silver Bluestem,common_name,silver bluestem
Bothriochloa laguroides,Silver Beardgrass,common_name,silver beardgrass
Bouteloua curtipendula,Bouteloua curtipendula,scientific,bouteloua curtipendula
Bouteloua curtipendula,Sideoats Grama,common_name,sideoats grama
Bouteloua curtipendula,Banderilla,common_name,banderilla
Bouteloua curtipendula,Banderita,common_name,banderita
Bouteloua curtipendula,Navajita,common_name,navajita
Bouteloua dactyloides,Bouteloua dactyloides,scientific,bouteloua dactyloides
Bouteloua dactyloides,Buffalograss,common_name,buffalograss
Bouteloua dactyloides,Buffalo Grass,common_name,buffalo grass
Bouteloua gracilis,Bouteloua gracilis,scientific,bouteloua gracilis
Bouteloua gracilis,Blue Grama,common_name,blue grama
Bouteloua rigidiseta,Bouteloua rigidiseta,scientific,bouteloua rigidiseta
Bouteloua rigidiseta,Texas Grama,common_name,texas grama
Chasmanthium latifolium,Chasmanthium latifolium,scientific,chasmanthium latifolium
Chasmanthium latifolium,Inland Sea Oats,common_name,inland sea oats
Chasmanthium latifolium,Indian Wood Oats,common_name,indian wood oats
Chasmanthium latifolium,Wild Oats,common_name,wild oats
Chasmanthium latifolium,River Oats,common_name,river oats
Chasmanthium latifolium,Flathead Oats,common_name,flathead oats
Chasmanthium latifolium,Upland Oats,common_name,upland oats
Chasmanthium latifolium,Upland Sea Oats,common_name,upland sea oats
Elymus canadensis,Elymus canadensis,scientific,elymus canadensis
Elymus canadensis,Canada Wildrye,common_name,canada wildrye
Elymus canadensis,Prairie Wildrye,npsot_common_name,prairie wildrye
Eragrostis hirsuta,Eragrostis hirsuta,scientific,eragrostis hirsuta
Eragrostis hirsuta,Big Top Love Grass,common_name,big top love grass
Eragrostis hirsuta,Big Top Lovegrass,npsot_common_name,big top lovegrass
Eragrostis spectabilis,Eragrostis spectabilis,scientific,eragrostis spectabilis
Eragrostis spectabilis,Purple Lovegrass,common_name,purple lovegrass
Eragrostis spectabilis,Purple Love Grass,common_name,purple love grass
Eragrostis spectabilis,Purple Plains Lovegrass,common_name,purple plains lovegrass
Eragrostis spectabilis,Tumblegrass,common_name,tumblegrass
Eragrostis spectabilis,Petticoat Climber,common_name,petticoat climber
Eragrostis trichodes,Eragrostis trichodes,scientific,eragrostis trichodes
Eragrostis trichodes,Sand Love Grass,common_name,sand love grass
Eragrostis trichodes,Sand lovegrass,common_name,sand lovegrass
Eriochloa sericea,Eriochloa sericea,scientific,eriochloa sericea
Eriochloa sericea,Texas Cupgrass,common_name,texas cupgrass
Leersia oryzoides,Leersia oryzoides,scientific,leersia oryzoides
Leersia oryzoides,Rice Cutgrass,common_name,rice cutgrass
Leersia oryzoides,Rice Cut Grass,common_name,rice cut grass
Muhlenbergia lindheimeri,Muhlenbergia lindheimeri,scientific,muhlenbergia lindheimeri
Muhlenbergia lindheimeri,Lindheimer's Muhly,common_name,lindheimer s muhly
Muhlenbergia lindheimeri,Lindheimer Muhly,common_name,lindheimer muhly
Muhlenbergia lindheimeri,Big Muhly,common_name,big muhly
Muhlenbergia lindheimeri,Blue Muhly,common_name,blue muhly
Muhlenbergia reverchonii,Muhlenbergia reverchonii,scientific,muhlenbergia reverchonii
Muhlenbergia reverchonii,Seep Muhly,common_name,seep muhly
Muhlenbergia schreberi,Muhlenbergia schreberi,scientific,muhlenbergia schreberi
Muhlenbergia schreberi,Nimblewill,common_name,nimblewill
Muhlenbergia utilis,Muhlenbergia utilis,scientific,muhlenbergia utilis
Muhlenbergia utilis,Aparejo Grass,common_name,aparejo grass
Muhlenbergia utilis,Aparejo Muhly,common_name,aparejo muhly
Panicum virgatum,Panicum virgatum,scientific,panicum virgatum
Panicum virgatum,Switchgrass,common_name,switchgrass
Panicum virgatum,Wand Panic Grass,common_name,wand panic grass
Poa arachnifera,Poa arachnifera,scientific,poa arachnifera
Poa arachnifera,Texas Bluegrass,common_name,texas bluegrass
Poa arachnifera,Texas Blue Grass,common_name,texas blue grass
Schizachyrium scoparium,Schizachyrium scoparium,scientific,schizachyrium scoparium
Schizachyrium scoparium,Little Bluestem,common_name,little bluestem
Schizachyrium scoparium,Popotillo Azul,common_name,popotillo azul
Setaria scheelei,Setaria scheelei,scientific,setaria scheelei
Setaria scheelei,Southwestern Bristlegrass,common_name,southwestern bristlegrass
Setaria scheelei,Scheele's Bristlegrass,common_name,scheele s bristlegrass
Setaria scheelei,Scheele's Foxtail Grass,common_name,scheele s foxtail grass
Setaria scheelei,Foxtail Grass,common_name,foxtail grass
Sorghastrum nutans,Sorghastrum nutans,scientific,sorghastrum nutans
Sorghastrum nutans,Indiangrass,common_name,indiangrass
Sorghastrum nutans,Yellow Indiangrass,common_name,yellow indiangrass
Sorghastrum nutans,Indian Grass,common_name,indian grass
Tridens albescens,Tridens albescens,scientific,tridens albescens
Tridens albescens,White Tridens,common_name,white tridens
Tridens albescens,White Top,common_name,white top
Tridens flavus,Tridens flavus,scientific,tridens flavus
Tridens flavus,Purpletop Tridens,common_name,purpletop tridens
Tripsacum dactyloides,Tripsacum dactyloides,scientific,tripsacum dactyloides
Tripsacum dactyloides,Eastern Gamagrass,common_name,eastern gamagrass
Tripsacum dactyloides,Fakahatchee Grass,common_name,fakahatchee grass
Achillea millefolium,Achillea millefolium,scientific,achillea millefolium
Achillea millefolium,Common Yarrow,common_name,common yarrow
Achillea millefolium,Western Yarrow,common_name,western yarrow
Achillea millefolium,Yarrow,common_name,yarrow
Achillea millefolium,Milfoil,common_name,milfoil
Acmella oppositifolia var. repens,Acmella oppositifolia var. repens,scientific,acmella oppositifolia var repens
Acmella oppositifolia var. repens,Spotflower,common_name,spotflower
Acourtia runcinata,Acourtia runcinata,scientific,acourtia runcinata
Acourtia runcinata,Featherleaf Desertpeony,common_name,featherleaf desertpeony
Acourtia runcinata,Peonia,common_name,peonia
Acourtia wrightii,Acourtia wrightii,scientific,acourtia wrightii
Acourtia wrightii,Brownfoot,common_name,brownfoot
Acourtia wrightii,Pink Perezia,common_name,pink perezia
Amsonia ciliata,Amsonia ciliata,scientific,amsonia ciliata
Amsonia ciliata,Blue Amsonia,common_name,blue amsonia
Amsonia ciliata,Fringed bluestar,common_name,fringed bluestar
Aquilegia canadensis,Aquilegia canadensis,scientific,aquilegia canadensis
Aquilegia canadensis,Eastern Red Columbine,common_name,eastern red columbine
Aquilegia canadensis,Wild Red Columbine,common_name,wild red columbine
Argemone polyanthemos,Argemone polyanthemos,scientific,argemone polyanthemos
Argemone polyanthemos,White Prickly Poppy,common_name,white prickly poppy
Argemone sanguinea,Argemone sanguinea,scientific,argemone sanguinea
Argemone sanguinea,Red Pricklypoppy,common_name,red pricklypoppy
Argemone sanguinea,Rose Prickly Poppy,common_name,rose prickly poppy
Argemone sanguinea,Red Prickly Poppy,common_name,red prickly poppy
Aristolochia erecta,Aristolochia erecta,scientific,aristolochia erecta
Aristolochia erecta,Swanflower,common_name,swanflower
Asclepias asperula,Asclepias asperula,scientific,asclepias asperula
Asclepias asperula,Antelope-horns,common_name,antelope horns
Asclepias asperula,Spider Milkweed,common_name,spider milkweed
Asclepias asperula,Green-flowered Milkweed,common_name,green flowered milkweed
Asclepias asperula,Spider Antelope-horns,common_name,spider antelope horns
Asclepias asperula,Antelope Horn Milkweed,npsot_common_name,antelope horn milkweed
Asclepias incarnata,Asclepias incarnata,scientific,asclepias incarnata
Asclepias incarnata,Swamp Milkweed,common_name,swamp milkweed
Asclepias incarnata,Pink Milkweed,common_name,pink milkweed
Asclepias oenotheroides,Asclepias oenotheroides,scientific,asclepias oenotheroides
Asclepias oenotheroides,Zizotes Milkweed,common_name,zizotes milkweed
Asclepias oenotheroides,Hierba De Zizotes,common_name,hierba de zizotes
Asclepias oenotheroides,Side-cluster Milkweed,common_name,side cluster milkweed
Asclepias oenotheroides,Longhorn Milkweed,common_name,longhorn milkweed
Asclepias oenotheroides,Primrose Milkweed,common_name,primrose milkweed
Asclepias oenotheroides,Lindheimer's Milkweed,common_name,lindheimer s milkweed
Asclepias texana,Asclepias texana,scientific,asclepias texana
Asclepias texana,Texas Milkweed,common_name,texas milkweed
Asclepias tuberosa,Asclepias tuberosa,scientific,asclepias tuberosa
Asclepias tuberosa,Butterflyweed,common_name,butterflyweed
Asclepias tuberosa,Butterfly Weed,common_name,butterfly weed
Asclepias tuberosa,Butterfly Milkweed,common_name,butterfly milkweed
Asclepias tuberosa,Orange Milkweed,common_name,orange milkweed
Asclepias tuberosa,Pleurisy Root,common_name,pleurisy root
Asclepias tuberosa,Chigger Flower,common_name,chigger flower
Asclepias tuberosa,Chiggerweed,common_name,chiggerweed
Asclepias viridis,Asclepias viridis,scientific,asclepias viridis
Asclepias viridis,Green Milkweed,common_name,green milkweed
Asclepias viridis,Spider Milkweed,common_name,spider milkweed
Baptisia bracteata,Baptisia bracteata,scientific,baptisia bracteata
Baptisia bracteata,Wild Indigo,common_name,wild indigo
Berlandiera lyrata,Berlandiera lyrata,scientific,berlandiera lyrata
Berlandiera lyrata,Chocolate Daisy,common_name,chocolate daisy
Berlandiera lyrata,Chocolate Flower,common_name,chocolate flower
Berlandiera lyrata,Lyreleaf Greeneyes,common_name,lyreleaf greeneyes
Berlandiera lyrata,Green-eyed Lyre Leaf,common_name,green eyed lyre leaf
Brickellia eupatorioides,Brickellia eupatorioides,scientific,brickellia eupatorioides
Brickellia eupatorioides,False Boneset,common_name,false boneset
Callirhoe involucrata,Callirhoe involucrata,scientific,callirhoe involucrata
Callirhoe involucrata,Winecup,common_name,winecup
Callirhoe involucrata,Purple Poppy Mallow,common_name,purple poppy mallow
Calylophus berlandieri,Calylophus berlandieri,scientific,calylophus berlandieri
Calylophus berlandieri,Berlandier's Sundrops,common_name,berlandier s sundrops
Calylophus berlandieri,Square-bud Primrose,common_name,square bud primrose
Calylophus berlandieri,Sundrops,common_name,sundrops
Calyptocarpus vialis,Calyptocarpus vialis,scientific,calyptocarpus vialis
Calyptocarpus vialis,Horseherb,common_name,horseherb
Capsicum annuum,Capsicum annuum,scientific,capsicum annuum
Capsicum annuum,Chile Tepin,common_name,chile tepin
Capsicum annuum,Chile Pequin,common_name,chile pequin
Capsicum annuum,Chiltepin,common_name,chiltepin
Capsicum annuum,Chile Petin,common_name,chile petin
Capsicum annuum,Bird Pepper,common_name,bird pepper
Capsicum annuum,Turkey Pepper,common_name,turkey pepper
Capsicum annuum,Cayenne Pepper,common_name,cayenne pepper
Carex blanda,Carex blanda,scientific,carex blanda
Carex blanda,Eastern Woodland Sedge,common_name,eastern woodland sedge
Carex blanda,Creek Sedge,common_name,creek sedge
Carex blanda,Common Wood Sedge,common_name,common wood sedge
Carex cherokeensis,Carex cherokeensis,scientific,carex cherokeensis
Carex cherokeensis,Cherokee Sedge,common_name,cherokee sedge
Carex emoryi,Carex emoryi,scientific,carex emoryi
Carex emoryi,Emory's Sedge,common_name,emory s sedge
Carex emoryi,Emory Sedge,common_name,emory sedge
Carex perdentata,Carex perdentata,scientific,carex perdentata
Carex perdentata,Sand Sedge,common_name,sand sedge
Carex perdentata,Meadow Sedge,common_name,meadow sedge
Carex texensis,Carex texensis,scientific,carex texensis
Carex texensis,Texas Sedge,common_name,texas sedge
Chaetopappa ericoides,Chaetopappa ericoides,scientific,chaetopappa ericoides
