Plant_ID,Scientific Name,NPSOT Propagation Common Name,NPSOT Propagation Materials,NPSOT Propagation Treatment Tags,NPSOT Propagation Public Note,NPSOT Propagation Source URL,NPSOT Propagation References
Toxicodendron radicans,Toxicodendron radicans,Poison Ivy,Seed | Stem,Stratification | Cutting,Materials listed: Seed | Stem. Treatment tags listed: Stratification | Cutting. Full propagation instructions are not reproduced in this public dataset; use the linked NPSOT/source pages for complete protocols.,https://www.npsot.org/posts/native-plant/102033/,https://greg.app/propagate-poison-ivy/#:~:text=When%20it%20comes%20to%20propagation
Acacia angustissima,Acacia angustissima,Prairie Acacia,Seed | Semi-harwood,No Treatment | Scarification | Cutting,Materials listed: Seed | Semi-harwood. Treatment tags listed: No Treatment | Scarification | Cutting. Full propagation instructions are not reproduced in this public dataset; use the linked NPSOT/source pages for complete protocols.,https://www.npsot.org/posts/native-plant/acaciella-angustissima/,https://www.wildflower.org/plants/result.php?id_plant=ACAN11 | https://davesgarden.com/guides/pf/go/73443 | https://propagate.one/how-to-propagate-acaciella-angustissima-2/#google_vignette | https://propagate.one/how-to-propagate-acaciella-angustissima-2/
Acer grandidentatum,Acer grandidentatum,Bigtooth Maple,Seed | Stem,No Treatment | Cutting | Stratification,Materials listed: Seed | Stem. Treatment tags listed: No Treatment | Cutting | Stratification. Full propagation instructions are not reproduced in this public dataset; use the linked NPSOT/source pages for complete protocols.,https://www.npsot.org/posts/native-plant/acer-grandidentatum/,https://npn.rngr.net/renderNPNProtocolDetails?selectedProtocolIds=aceraceae-acer-2682 | https://www.wildflower.org/plants/result.php?id_plant=ACGR3 | https://www.prairiemoon.com/seeds/#/?resultsPerPage=24 | https://www.botanicgardens.org/blog/dark-side-propagating-maples#:~:text=The%20bigtooth%20maple%20Acer%20grandidentatum%20is%20a | https://extension.usu.edu/cwel/research/propagating-bigtooth-maple
Acer negundo,Acer negundo,Box Elder,Seed,Scarification,Materials listed: Seed. Treatment tags listed: Scarification. Full propagation instructions are not reproduced in this public dataset; use the linked NPSOT/source pages for complete protocols.,https://www.npsot.org/posts/native-plant/acer-negundo/,https://npn.rngr.net/renderNPNProtocolDetails?selectedProtocolIds=aceraceae-acer-1120
Achillea millefolium,Achillea millefolium,Common Yarrow,Seed | Root | Bud | Stem,Stratification | Cutting | Division,Materials listed: Seed | Root | Bud | Stem. Treatment tags listed: Stratification | Cutting | Division. Full propagation instructions are not reproduced in this public dataset; use the linked NPSOT/source pages for complete protocols.,https://www.npsot.org/posts/native-plant/achillea-millefolium/,https://www.nrcs.usda.gov/plantmaterials/mtpmcpg13974.pdf | https://www.wildflower.org/plants/result.php?id_plant=ACMI2 | https://nwdistrict.ifas.ufl.edu/hort/2024/02/29/the-art-of-propagating-yarrow-a-guide-to-successful-growth/ | https://propagate.one/how-to-propagate-achillea-millefolium/
Acmella repens,Acmella repens,Creeping Spotflower,Stem | Seed | Bud,Cutting | No Treatment | Division,Materials listed: Stem | Seed | Bud. Treatment tags listed: Cutting | No Treatment | Division. Full propagation instructions are not reproduced in this public dataset; use the linked NPSOT/source pages for complete protocols.,https://www.npsot.org/posts/native-plant/acmella-oppositifolia-var-repens/,https://www.aquasabi.com/Acmella-repens-in-Vitro | https://greg.app/creeping-spotflower-overview/#:~:text=For%20outdoor%20planting%2C%20focus%20on
Adiantum capillus-veneris,Adiantum capillus-veneris,Common Maidenhair Fern,Root | Spores,Division | No Treatment,Materials listed: Root | Spores. Treatment tags listed: Division | No Treatment. Full propagation instructions are not reproduced in this public dataset; use the linked NPSOT/source pages for complete protocols.,https://www.npsot.org/posts/native-plant/adiantum-capillus-veneris/,https://www.plantsrescue.com/posts/adiantum-capillus-veneris | https://www.wildflower.org/plants/result.php?id_plant=ADCA
Aesculus glabra,Aesculus glabra,Texas Buckeye,Seed,Stratification,Materials listed: Seed. Treatment tags listed: Stratification. Full propagation instructions are not reproduced in this public dataset; use the linked NPSOT/source pages for complete protocols.,https://www.npsot.org/posts/native-plant/aesculus-glabra/,https://www.wildflower.org/plants/result.php?id_plant=AEGL
Aesculus pavia var. flavescens,Aesculus pavia var. flavescens,Texas Yellow Buckeye,Seed | Root,No Treatment | Cutting,Materials listed: Seed | Root. Treatment tags listed: No Treatment | Cutting. Full propagation instructions are not reproduced in this public dataset; use the linked NPSOT/source pages for complete protocols.,https://www.npsot.org/posts/native-plant/aesculus-pavia-var-flavescens/,https://www.wildflower.org/plants/result.php?id_plant=aepaf
Aesculus pavia var. pavia,Aesculus pavia var. pavia,Red Buckeye,Seed | Softwood,No Treatment | Cutting,Materials listed: Seed | Softwood. Treatment tags listed: No Treatment | Cutting. Full propagation instructions are not reproduced in this public dataset; use the linked NPSOT/source pages for complete protocols.,https://www.npsot.org/posts/native-plant/aesculus-pavia-var-pavia/,https://www.wildflower.org/plants/result.php?id_plant=AEPAP | https://greg.app/propagate-red-buckeye/
Agalinis heterophylla,Agalinis heterophylla,Prairie False Foxglove,Seed,No Treatment,Materials listed: Seed. Treatment tags listed: No Treatment. Full propagation instructions are not reproduced in this public dataset; use the linked NPSOT/source pages for complete protocols.,https://www.npsot.org/posts/native-plant/agalinis-heterophylla/,https://www.picturethisai.com/care/Agalinis_heterophylla.html#:~:text=More%20Info%20on%20Prairie%20false
Agave americana,Agave americana,Century Plant,Offshoots | Seed,Division | No Treatment,Materials listed: Offshoots | Seed. Treatment tags listed: Division | No Treatment. Full propagation instructions are not reproduced in this public dataset; use the linked NPSOT/source pages for complete protocols.,https://www.npsot.org/posts/native-plant/agave-americana/,https://www.gardenia.net/plant/agave-americana-century-plant#:~:text=Propagation:%20Agave%20americana%20can%20be | https://propagate.one/how-to-propagate-agave-americana/
Ageratina altissima,Ageratina altissima,White Snakeroot,Seed | Rhizome,Stratification | Division,Materials listed: Seed | Rhizome. Treatment tags listed: Stratification | Division. Full propagation instructions are not reproduced in this public dataset; use the linked NPSOT/source pages for complete protocols.,https://www.npsot.org/posts/native-plant/ageratina-altissima/,https://openprairie.sdstate.edu/nativeplant/60/#:~:text=Seed%20Collection:Collect%20seed%20in | https://hayefield.com/product/ageratina-altissima-white-snakeroot/#:~:text=Germination%20Information:%20I%20recommend%20these
Ageratina havanensis,Ageratina havanensis,White Mistflower,Stem | Clump,Cutting | Division,Materials listed: Stem | Clump. Treatment tags listed: Cutting | Division. Full propagation instructions are not reproduced in this public dataset; use the linked NPSOT/source pages for complete protocols.,https://www.npsot.org/posts/native-plant/ageratina-havanensis/,https://propagate.one/how-to-propagate-ageratina-havanensis/
Allium canadense,Allium canadense,Meadow Garlic,Clump | Seed | Bulb,Division | No Treatment,Materials listed: Clump | Seed | Bulb. Treatment tags listed: Division | No Treatment. Full propagation instructions are not reproduced in this public dataset; use the linked NPSOT/source pages for complete protocols.,https://www.npsot.org/posts/native-plant/allium-canadense/,https://greg.app/plant-care/allium-canadense | https://www.rhs.org.uk/plants/allium/growing-guide | https://warcapps.usgs.gov/PlantID/Species/Details/2043#:~:text=Starting%20plants%20from%20bulblets%20is
Allowissadula holosericea,Allowissadula holosericea,Chisos Mountain False Indian Mallow,Seed,No Treatment,Materials listed: Seed. Treatment tags listed: No Treatment. Full propagation instructions are not reproduced in this public dataset; use the linked NPSOT/source pages for complete protocols.,https://www.npsot.org/posts/native-plant/allowissadula-holosericea/,https://www.picturethisai.com/wiki/Allowissadula_holosericea.html
