recordID,scientificName,acceptedName,commonName,regionGroup,primaryMicroregion,secondaryMicroregions,fineHabitatTags,fineHabitatSummary,nativeHabitat,soilDescription,moistureWaterLight,wetlandStatusSummary,confidence,reviewNeeded,publicStatus,publicationNote,lbjProfileURL,usdaPlantsURL,fnaSearchURL,fnaDirectCandidateURL,wetlandPlantListURL,nrcsWebSoilSurveyURL,nrcsEDITURL,epaEcoregionsURL,tpwdEMSURL,sourceUseNote,datasetVersion,lastUpdated,onlineSlug
1,Adiantum pedatum,Adiantum pedatum,Maidenhair Fern,Woodland and karst upland systems,Mesic Canyons & Seeps,,limestone seep or spring-influenced shade,limestone seep or spring-influenced shade,"Moist, cool, rich woods & shaded areas, especially northern exposures, with neither little nor too much moisture. Rocky seeps and springs especially.","Rich, moist, well-drained soils, mostly acidic but can tolerate some lime.","Moist; Medium; Part Shade , Shade; Low; Low","Region: AGCP AK AW CB EMP GP HI MW NCNE WMVE Status: FACU FAC FAC FACU FACU FAC | This information is derived from: U.S. Army Corps of Engineers. (2023). 2022 National Wetland Plant List, version 3.6. U.S. Army Engineer Research and Development Center, Vicksburg, MS. | https://wetland-plants.usace.army.mil/ | . | Click here | for map of regions.",High,No,Publish now,Literature-supported microregion assignment; field/GIS confirmation can be added in a later release.,https://www.wildflower.org/plants/result.php?id_plant=ADPE,https://plants.usda.gov/home/basicSearchResults?searchString=Adiantum+pedatum,https://floranorthamerica.org/Special:Search?search=Adiantum+pedatum,https://floranorthamerica.org/Adiantum_pedatum,https://wetland-plants.sec.usace.army.mil/,https://websoilsurvey.nrcs.usda.gov/app/,https://edit.sc.egov.usda.gov/,https://www.epa.gov/eco-research/ecoregions,https://tpwd.texas.gov/landwater/land/programs/landscape-ecology/ems/,"LBJ/USDA/FNA/USACE support species habitat traits; NRCS/EPA/TPWD links support site/soil/ecoregion/vegetation validation, not species identity.",v1-online-public-draft,2026-05-27,adiantum-pedatum
2,Equisetum hyemale,Equisetum hyemale,"Scouring-rush Horsetail, Horsetail, Scouring Rush, Canuela",Riparian and floodplain systems,Riparian Banks,Aquatic / Spring Runs; Mesic Canyons & Seeps; Karst Outcrops; Shallow Upland Prairie,stream/river bank; floodplain/bottomland; marsh/swamp/wetland; seep/wet ledge; limestone/caliche/calcareous; rocky/ledge/slope; prairie/open field; deep clay/swale; woodland/wood edge; disturbed/roadside/ditch; dry upland; moist mesic; sunny open; shade/part shade,stream/alluvial flats/wet ledges/shallow water,"In open or wooded areas along streams, on alluvial flats, and on wet ledges; throughout Texas, most common in Blackland Prairies and on the Edwards Plateau. Sand, loam, clay, or limestone; poor drainage okay or in shallow water.","Occurs in wet places, including pond margins, swamps, floodplains and ditches.","Moist , Wet; Medium; Sun , Part Shade , Shade","Region: AGCP AK AW CB EMP GP HI MW NCNE WMVE Status: FACW FACW FACW FACW FACW FACW FAC FACW | This information is derived from: U.S. Army Corps of Engineers. (2023). 2022 National Wetland Plant List, version 3.6. U.S. Army Engineer Research and Development Center, Vicksburg, MS. | https://wetland-plants.usace.army.mil/ | . | Click here | for map of regions.",High,No,Publish now,Literature-supported microregion assignment; field/GIS confirmation can be added in a later release.,https://www.wildflower.org/plants/result.php?id_plant=EQHY,https://plants.usda.gov/home/basicSearchResults?searchString=Equisetum+hyemale,https://floranorthamerica.org/Special:Search?search=Equisetum+hyemale,https://floranorthamerica.org/Equisetum_hyemale,https://wetland-plants.sec.usace.army.mil/,https://websoilsurvey.nrcs.usda.gov/app/,https://edit.sc.egov.usda.gov/,https://www.epa.gov/eco-research/ecoregions,https://tpwd.texas.gov/landwater/land/programs/landscape-ecology/ems/,"LBJ/USDA/FNA/USACE support species habitat traits; NRCS/EPA/TPWD links support site/soil/ecoregion/vegetation validation, not species identity.",v1-online-public-draft,2026-05-27,equisetum-hyemale
3,Marsilea macropoda,Marsilea macropoda,"Bigfoot Water-clover, Water-clover, Clover-fern, Largefoot Pepperwort","Aquatic, spring-run, and wetland systems",Aquatic / Spring Runs,,pond/lake margin or shallow open water,pond/lake margin or shallow open water,"Mud or sandy soil and water of swamps, marshes, woodland bogs, ditches, streams, and on the edge of ponds and lakes.","Wet or poorly drained sand or loam (mud). Sand, sandy loam, medium loam, clay loam.","Wet; Medium , High; Sun , Part Shade , Shade","Region: AGCP AK AW CB EMP GP HI MW NCNE WMVE Status: OBL OBL | This information is derived from: U.S. Army Corps of Engineers. (2023). 2022 National Wetland Plant List, version 3.6. U.S. Army Engineer Research and Development Center, Vicksburg, MS. | https://wetland-plants.usace.army.mil/ | . | Click here | for map of regions.",High,No,Publish now,Literature-supported microregion assignment; field/GIS confirmation can be added in a later release.,https://www.wildflower.org/plants/result.php?id_plant=MAMA9,https://plants.usda.gov/home/basicSearchResults?searchString=Marsilea+macropoda,https://floranorthamerica.org/Special:Search?search=Marsilea+macropoda,https://floranorthamerica.org/Marsilea_macropoda,https://wetland-plants.sec.usace.army.mil/,https://websoilsurvey.nrcs.usda.gov/app/,https://edit.sc.egov.usda.gov/,https://www.epa.gov/eco-research/ecoregions,https://tpwd.texas.gov/landwater/land/programs/landscape-ecology/ems/,"LBJ/USDA/FNA/USACE support species habitat traits; NRCS/EPA/TPWD links support site/soil/ecoregion/vegetation validation, not species identity.",v1-online-public-draft,2026-05-27,marsilea-macropoda
4,Andropogon gerardii,Andropogon gerardii,"Big Bluestem, Tall Bluestem, Turkeyfoot",Upland prairie and open grassland systems,Shallow Upland Prairie,,sandy/loamy upland prairie or open field,sandy/loamy upland prairie or open field,"Usually in low meadows and prairies, rare in extreme west. Most abundant in the central plains but also a prairie component in moist grasslands all the way to the east coast.","Acid or calcareous sands, loams, and clays.","Moist; Low , Medium; Sun , Part Shade; High; High","Region: AGCP AK AW CB EMP GP HI MW NCNE WMVE Status: FAC FACU FAC FACU FAC FACU FACU | This information is derived from: U.S. Army Corps of Engineers. (2023). 2022 National Wetland Plant List, version 3.6. U.S. Army Engineer Research and Development Center, Vicksburg, MS. | https://wetland-plants.usace.army.mil/ | . | Click here | for map of regions.",High,No,Publish now,Literature-supported microregion assignment; field/GIS confirmation can be added in a later release.,https://www.wildflower.org/plants/result.php?id_plant=ANGE,https://plants.usda.gov/home/basicSearchResults?searchString=Andropogon+gerardii,https://floranorthamerica.org/Special:Search?search=Andropogon+gerardii,https://floranorthamerica.org/Andropogon_gerardii,https://wetland-plants.sec.usace.army.mil/,https://websoilsurvey.nrcs.usda.gov/app/,https://edit.sc.egov.usda.gov/,https://www.epa.gov/eco-research/ecoregions,https://tpwd.texas.gov/landwater/land/programs/landscape-ecology/ems/,"LBJ/USDA/FNA/USACE support species habitat traits; NRCS/EPA/TPWD links support site/soil/ecoregion/vegetation validation, not species identity.",v1-online-public-draft,2026-05-27,andropogon-gerardii
5,Andropogon glomeratus,Andropogon glomeratus,"Bushy Bluestem, Brushy Bluestem",Upland prairie and open grassland systems,Shallow Upland Prairie,Riparian Banks,sandy/loamy upland prairie or open field,sandy/loamy upland prairie or open field,"Frequent in low, moist areas in full sun, particularly grassland swales and roadside ditches.","Clay, Loam, Sand; Moist, moderately disturbed, relatively sterile soils. Poor drainage all right, even preferred. Tolerates salinity.","Moist , Wet; High; Sun","Region: AGCP AK AW CB EMP GP HI MW NCNE WMVE Status: FACW FACW FAC FACW FACW FAC FACW FACW FACW | This information is derived from: U.S. Army Corps of Engineers. (2023). 2022 National Wetland Plant List, version 3.6. U.S. Army Engineer Research and Development Center, Vicksburg, MS. | https://wetland-plants.usace.army.mil/ | . | Click here | for map of regions.",High,No,Publish now,Literature-supported microregion assignment; field/GIS confirmation can be added in a later release.,https://www.wildflower.org/plants/result.php?id_plant=ANGL2,https://plants.usda.gov/home/basicSearchResults?searchString=Andropogon+glomeratus,https://floranorthamerica.org/Special:Search?search=Andropogon+glomeratus,https://floranorthamerica.org/Andropogon_glomeratus,https://wetland-plants.sec.usace.army.mil/,https://websoilsurvey.nrcs.usda.gov/app/,https://edit.sc.egov.usda.gov/,https://www.epa.gov/eco-research/ecoregions,https://tpwd.texas.gov/landwater/land/programs/landscape-ecology/ems/,"LBJ/USDA/FNA/USACE support species habitat traits; NRCS/EPA/TPWD links support site/soil/ecoregion/vegetation validation, not species identity.",v1-online-public-draft,2026-05-27,andropogon-glomeratus
6,Andropogon virginicus,Andropogon virginicus,Broomsedge Bluestem,Upland prairie and open grassland systems,Shallow Upland Prairie,Upland Woodland,sandy/loamy upland prairie or open field,sandy/loamy upland prairie or open field,Dry fields; thin woods; upper shores of ponds,"Dry, sandy soils. Sandy, Sandy Loam, Medium Loam",Moist; Medium; Part Shade; High,"Region: AGCP AK AW CB EMP GP HI MW NCNE WMVE Status: FAC FAC FAC FACU FACU FACU FACU FACU FAC | This information is derived from: U.S. Army Corps of Engineers. (2023). 2022 National Wetland Plant List, version 3.6. U.S. Army Engineer Research and Development Center, Vicksburg, MS. | https://wetland-plants.usace.army.mil/ | . | Click here | for map of regions.",High,No,Publish now,Literature-supported microregion assignment; field/GIS confirmation can be added in a later release.,https://www.wildflower.org/plants/result.php?id_plant=ANVI2,https://plants.usda.gov/home/basicSearchResults?searchString=Andropogon+virginicus,https://floranorthamerica.org/Special:Search?search=Andropogon+virginicus,https://floranorthamerica.org/Andropogon_virginicus,https://wetland-plants.sec.usace.army.mil/,https://websoilsurvey.nrcs.usda.gov/app/,https://edit.sc.egov.usda.gov/,https://www.epa.gov/eco-research/ecoregions,https://tpwd.texas.gov/landwater/land/programs/landscape-ecology/ems/,"LBJ/USDA/FNA/USACE support species habitat traits; NRCS/EPA/TPWD links support site/soil/ecoregion/vegetation validation, not species identity.",v1-online-public-draft,2026-05-27,andropogon-virginicus
7,Aristida purpurea,Aristida purpurea,"Purple Threeawn, Purple 3-awn, Purple Three-awn, Red Threeawn",Upland prairie and open grassland systems,Shallow Upland Prairie,Karst Outcrops,sandy/loamy upland prairie or open field,sandy/loamy upland prairie or open field,"Sun, open ground, well-drained sand, clay, loam, limestone; Overgrazed ranges, disturbed roadsides, abandoned fields.","Dry, rocky soils.",Dry; Low; Sun; High; High,,High,No,Publish now,Literature-supported microregion assignment; field/GIS confirmation can be added in a later release.,https://www.wildflower.org/plants/result.php?id_plant=ARPU9,https://plants.usda.gov/home/basicSearchResults?searchString=Aristida+purpurea,https://floranorthamerica.org/Special:Search?search=Aristida+purpurea,https://floranorthamerica.org/Aristida_purpurea,https://wetland-plants.sec.usace.army.mil/,https://websoilsurvey.nrcs.usda.gov/app/,https://edit.sc.egov.usda.gov/,https://www.epa.gov/eco-research/ecoregions,https://tpwd.texas.gov/landwater/land/programs/landscape-ecology/ems/,"LBJ/USDA/FNA/USACE support species habitat traits; NRCS/EPA/TPWD links support site/soil/ecoregion/vegetation validation, not species identity.",v1-online-public-draft,2026-05-27,aristida-purpurea
8,Bothriochloa laguroides,Bothriochloa laguroides,"Silver Bluestem, Silver Beardgrass",Upland prairie and open grassland systems,Shallow Upland Prairie,,open dry upland prairie/grassland,open dry upland prairie/grassland,"Grows in well-drained soils of grasslands, prairies, roadsides, river bottoms, and woodlands, often on limestone.",,,,High,No,Publish now,Literature-supported microregion assignment; field/GIS confirmation can be added in a later release.,https://www.wildflower.org/plants/result.php?id_plant=BOLA2,https://plants.usda.gov/home/basicSearchResults?searchString=Bothriochloa+laguroides,https://floranorthamerica.org/Special:Search?search=Bothriochloa+laguroides,https://floranorthamerica.org/Bothriochloa_laguroides,https://wetland-plants.sec.usace.army.mil/,https://websoilsurvey.nrcs.usda.gov/app/,https://edit.sc.egov.usda.gov/,https://www.epa.gov/eco-research/ecoregions,https://tpwd.texas.gov/landwater/land/programs/landscape-ecology/ems/,"LBJ/USDA/FNA/USACE support species habitat traits; NRCS/EPA/TPWD links support site/soil/ecoregion/vegetation validation, not species identity.",v1-online-public-draft,2026-05-27,bothriochloa-laguroides
9,Bouteloua curtipendula,Bouteloua curtipendula,"Sideoats Grama, Banderilla, Banderita, Navajita",Upland prairie and open grassland systems,Shallow Upland Prairie,Shallow Upland Prairie,dry upland prairie slope,dry upland prairie slope,Prairies; open brush; forest openings; rocky slopes,"Medium-textured, well-drained soils. Disturbed, igneous, limestone-based sands, loams, and clays.","Dry , Moist; Medium; Sun , Part Shade; Medium; High",,High,No,Publish now,Literature-supported microregion assignment; field/GIS confirmation can be added in a later release.,https://www.wildflower.org/plants/result.php?id_plant=BOCU,https://plants.usda.gov/home/basicSearchResults?searchString=Bouteloua+curtipendula,https://floranorthamerica.org/Special:Search?search=Bouteloua+curtipendula,https://floranorthamerica.org/Bouteloua_curtipendula,https://wetland-plants.sec.usace.army.mil/,https://websoilsurvey.nrcs.usda.gov/app/,https://edit.sc.egov.usda.gov/,https://www.epa.gov/eco-research/ecoregions,https://tpwd.texas.gov/landwater/land/programs/landscape-ecology/ems/,"LBJ/USDA/FNA/USACE support species habitat traits; NRCS/EPA/TPWD links support site/soil/ecoregion/vegetation validation, not species identity.",v1-online-public-draft,2026-05-27,bouteloua-curtipendula
10,Bouteloua dactyloides,Bouteloua dactyloides,"Buffalograss, Buffalo Grass",Upland prairie and open grassland systems,Shallow Upland Prairie,,sandy/loamy upland prairie or open field,sandy/loamy upland prairie or open field,"Prairies, plains, meadows, pastures, savannas. A dominant grass in shortgrass prairie, understory in taller prairie.","Well-drained loam, clay, caliche, or limestone. Does not like sand.","Dry; Low , Medium; Sun; High; High","Region: AGCP AK AW CB EMP GP HI MW NCNE WMVE Status: FACU FACU FACU FACU FACU FACU UPL | This information is derived from: U.S. Army Corps of Engineers. (2023). 2022 National Wetland Plant List, version 3.6. U.S. Army Engineer Research and Development Center, Vicksburg, MS. | https://wetland-plants.usace.army.mil/ | . | Click here | for map of regions.",High,No,Publish now,Literature-supported microregion assignment; field/GIS confirmation can be added in a later release.,https://www.wildflower.org/plants/result.php?id_plant=BODA2,https://plants.usda.gov/home/basicSearchResults?searchString=Bouteloua+dactyloides,https://floranorthamerica.org/Special:Search?search=Bouteloua+dactyloides,https://floranorthamerica.org/Bouteloua_dactyloides,https://wetland-plants.sec.usace.army.mil/,https://websoilsurvey.nrcs.usda.gov/app/,https://edit.sc.egov.usda.gov/,https://www.epa.gov/eco-research/ecoregions,https://tpwd.texas.gov/landwater/land/programs/landscape-ecology/ems/,"LBJ/USDA/FNA/USACE support species habitat traits; NRCS/EPA/TPWD links support site/soil/ecoregion/vegetation validation, not species identity.",v1-online-public-draft,2026-05-27,bouteloua-dactyloides
