canonical_name,alias,record_type,source_id,notes
Mary Kyle Hartson City Square,Mary Kyle Hartson City Square,site,PARD-PRK-1,direct name from Parks.geojson
Mary Kyle Hartson City Square,Mary Kyle Hartson,site,PARD-PRK-1,auto-generated short alias; review before public use
Gregg-Clarke Park,Gregg-Clarke Park,site,PARD-PRK-2,direct name from Parks.geojson
Gregg-Clarke Park,Gregg-Clarke,site,PARD-PRK-2,auto-generated short alias; review before public use
Waterleaf Park,Waterleaf Park,site,PARD-PRK-3,direct name from Parks.geojson
Waterleaf Park,Waterleaf,site,PARD-PRK-3,auto-generated short alias; review before public use
Plum Creek Golf Course,Plum Creek Golf Course,site,PARD-PVT-4,direct name from Parks.geojson
Post Oak Pool & Park,Post Oak Pool & Park,site,PARD-PVT-5,direct name from Parks.geojson
Post Oak Pool & Park,Post Oak Pool &,site,PARD-PVT-5,auto-generated short alias; review before public use
Sunset Ridge Pool,Sunset Ridge Pool,site,PARD-PVT-6,direct name from Parks.geojson
Amberwood Pool,Amberwood Pool,site,PARD-PVT-7,direct name from Parks.geojson
Silverado at Plum Creek,Silverado at Plum Creek,site,PARD-PVT-8,direct name from Parks.geojson
Plum Creek (McNaughton Pool & Park),Plum Creek (McNaughton Pool & Park),site,PARD-PVT-9,direct name from Parks.geojson
Plum Creek (McNaughton Pool & Park),Plum Creek (McNaughton Pool & ),site,PARD-PVT-9,auto-generated short alias; review before public use
Silverado Pavilion,Silverado Pavilion,site,PARD-PVT-10,direct name from Parks.geojson
Indian Paintbrush Greenbelt/Pond,Indian Paintbrush Greenbelt/Pond,site,PARD-PVT-11,direct name from Parks.geojson
Hometown Kyle,Hometown Kyle,site,PARD-PVT-12,direct name from Parks.geojson
Kyle Vista Park,Kyle Vista Park,site,PARD-UNDEV-13,direct name from Parks.geojson
Kyle Vista Park,Kyle Vista,site,PARD-UNDEV-13,auto-generated short alias; review before public use
Lake Kyle,Lake Kyle,site,PARD-PRK-14,direct name from Parks.geojson
Linebarger Lake,Linebarger Lake,site,PARD-UNDEV-15,direct name from Parks.geojson
Plum Creek (Utterback),Plum Creek (Utterback),site,PARD-PVT-16,direct name from Parks.geojson
Hometown Kyle Trails,Hometown Kyle Trails,site,PARD-PVT-17,direct name from Parks.geojson
Indian Paintbrush,Indian Paintbrush,site,PARD-PVT-18,direct name from Parks.geojson
Steeplechase Park,Steeplechase Park,site,PARD-PRK-19,direct name from Parks.geojson
Steeplechase Park,Steeplechase,site,PARD-PRK-19,auto-generated short alias; review before public use
Waterleaf HOA Pool,Waterleaf HOA Pool,site,PARD-PVT-21,direct name from Parks.geojson
Oso Oro,Oso Oro,site,PARD-UNDEV-22,direct name from Parks.geojson
Four Seasons Farm,Four Seasons Farm,site,PARD-UNDEV-23,direct name from Parks.geojson
Seton Park & Trail,Seton Park & Trail,site,PARD-UNDEV-25,direct name from Parks.geojson
Seton Park & Trail,Seton  & Trail,site,PARD-UNDEV-25,auto-generated short alias; review before public use
Bunton Creek Pool,Bunton Creek Pool,site,PARD-PVT-26,direct name from Parks.geojson
Bunton Creek Ball Field,Bunton Creek Ball Field,site,PARD-PVT-27,direct name from Parks.geojson
Hometown Kyle Trails,Hometown Kyle Trails,site,PARD-PVT-28,direct name from Parks.geojson
Indian Paintbrush Greenbelt/Pond,Indian Paintbrush Greenbelt/Pond,site,PARD-PVT-29,direct name from Parks.geojson
Kensington Trails Open Space,Kensington Trails Open Space,site,PARD-UNDEV-30,direct name from Parks.geojson
Kensington Trails Open Space,Kensington Trails,site,PARD-UNDEV-30,auto-generated short alias; review before public use
Plum Creek Pool (Haupt),Plum Creek Pool (Haupt),site,PARD-PVT-31,direct name from Parks.geojson
Plum Creek Park (Sampson),Plum Creek Park (Sampson),site,PARD-PVT-32,direct name from Parks.geojson
Plum Creek Park (Sampson),Plum Creek  (Sampson),site,PARD-PVT-32,auto-generated short alias; review before public use
Plum Creek (Kirby Circle),Plum Creek (Kirby Circle),site,PARD-PVT-33,direct name from Parks.geojson
Kyle Train Depot,Kyle Train Depot,site,PARD-PRK-34,direct name from Parks.geojson
