site_id,site_name,site_type_standard,site_type_source,owner,city_owned,address,acres,developed_acres,undeveloped_acres,year_dedicated,amenity_playground,amenity_tables,amenity_pool,amenity_baseball,amenity_basketball,amenity_soccer,dfz,comments,geometry_type,center_lat,center_lon,bbox_west,bbox_south,bbox_east,bbox_north,source_file,dashboard_use,gpt_use_note
PARD-PRK-1,Mary Kyle Hartson City Square,public_park,Public,City of Kyle,yes,111 S. Burleson Rd,1.43983211,2,0,1880,,5,,,,,,A,Polygon,29.9882891,-97.8768474,-97.8773014,29.9878932,-97.8763933,29.9886851,Parks.geojson,yes,"Use for site/park/open-space name matching and context. Use GeoJSON geometry, not this CSV, for exact spatial joins."
PARD-PRK-2,Gregg-Clarke Park,public_park,Public,City of Kyle,yes,1100 W. Center St,28.12753923,28,0,1994,2,12,1,5,1,1,Yes,A,Polygon,29.9919041,-97.8860864,-97.8883315,29.9898443,-97.8838413,29.9939638,Parks.geojson,yes,"Use for site/park/open-space name matching and context. Use GeoJSON geometry, not this CSV, for exact spatial joins."
PARD-PRK-3,Waterleaf Park,public_park,Public,City of Kyle,yes,570 Abundance Ln,92.03007196,20,72,2004,1,2,,3,,2,,p,Polygon,29.9716728,-97.8395226,-97.8449259,29.9677812,-97.8341192,29.9755643,Parks.geojson,yes,"Use for site/park/open-space name matching and context. Use GeoJSON geometry, not this CSV, for exact spatial joins."
PARD-PVT-4,Plum Creek Golf Course,private_open_space,Private,Plum Creek Dev Partners LTD,no,,267.10082569,,,,,,,,,,,,Polygon,30.0187402,-97.8793472,-97.8884051,30.0105578,-97.8702894,30.0269226,Parks.geojson,optional,"Use for site/park/open-space name matching and context. Use GeoJSON geometry, not this CSV, for exact spatial joins."
PARD-PVT-5,Post Oak Pool & Park,hoa_open_space,HOA,Post Oak HOA,no,,2.89349703,,,,1,2,1,,1,,Yes,,Polygon,29.9730898,-97.8633212,-97.8641287,29.9723908,-97.8625136,29.9737887,Parks.geojson,optional,"Use for site/park/open-space name matching and context. Use GeoJSON geometry, not this CSV, for exact spatial joins."
PARD-PVT-6,Sunset Ridge Pool,hoa_open_space,HOA,FC Sunset Ridge LP,no,,1.03788315,,,,1,,1,,,,Yes,,Polygon,29.9724516,-97.8485363,-97.8489984,29.9720513,-97.8480742,29.972852,Parks.geojson,optional,"Use for site/park/open-space name matching and context. Use GeoJSON geometry, not this CSV, for exact spatial joins."
PARD-PVT-7,Amberwood Pool,hoa_open_space,HOA,Community of Amberwood HOA,no,,0.70211294,,,,,,1,,,,,,Polygon,30.0289657,-97.8453586,-97.845734,30.0286952,-97.8449831,30.0292362,Parks.geojson,optional,"Use for site/park/open-space name matching and context. Use GeoJSON geometry, not this CSV, for exact spatial joins."
PARD-PVT-8,Silverado at Plum Creek,hoa_open_space,HOA,Silverado HOA,no,,1.76264925,,,,1,2,1,,,,Yes,,Polygon,29.9988878,-97.8831752,-97.8838035,29.998333,-97.8825469,29.9994426,Parks.geojson,optional,"Use for site/park/open-space name matching and context. Use GeoJSON geometry, not this CSV, for exact spatial joins."
PARD-PVT-9,Plum Creek (McNaughton Pool & Park),hoa_open_space,HOA,Plum Creek HOA,no,,3.87247792,,,,1,2,1,,1,,Yes,,Polygon,30.009173,-97.8842326,-97.8856096,30.0078669,-97.8828555,30.010479,Parks.geojson,optional,"Use for site/park/open-space name matching and context. Use GeoJSON geometry, not this CSV, for exact spatial joins."
PARD-PVT-10,Silverado Pavilion,hoa_open_space,HOA,Silverado HOA,no,,0.76269278,,,,1,1,,,1,,Yes,,Polygon,29.9991196,-97.8797496,-97.8801702,29.9987588,-97.879329,29.9994805,Parks.geojson,optional,"Use for site/park/open-space name matching and context. Use GeoJSON geometry, not this CSV, for exact spatial joins."
PARD-PVT-11,Indian Paintbrush Greenbelt/Pond,hoa_open_space,HOA,Indian Paintbrush HOA,no,,7.19274642,,,,,,,,,,,Open Space,Polygon,30.0255557,-97.8349753,-97.8365492,30.0236999,-97.8334014,30.0274115,Parks.geojson,optional,"Use for site/park/open-space name matching and context. Use GeoJSON geometry, not this CSV, for exact spatial joins."
