site_type_source,owner,city_owned,feature_count,total_acres,source_file
HOA,Brooks Crossing,no,1,8.4285,Parks.geojson
HOA,Bunton Creek HOA,no,2,19.3737,Parks.geojson
HOA,Clara Vista,no,1,1.3872,Parks.geojson
HOA,Community of Amberwood HOA,no,2,5.5999,Parks.geojson
HOA,FC Sunset Ridge LP,no,1,1.0379,Parks.geojson
HOA,Hometown HOA,no,3,5.3045,Parks.geojson
HOA,Indian Paintbrush HOA,no,3,14.2989,Parks.geojson
HOA,Kensington Trails,no,1,0.4968,Parks.geojson
HOA,Meadows at Kyle,no,1,1.8307,Parks.geojson
HOA,Park at Steeplechase,no,1,3.5895,Parks.geojson
HOA,Plum Creek HOA,no,3,9.1862,Parks.geojson
HOA,Post Oak HOA,no,1,2.8935,Parks.geojson
HOA,RH of Texas LTD Partnership,no,1,2.4098,Parks.geojson
HOA,Saddle Creek Apts,no,1,0.3715,Parks.geojson
HOA,Silverado HOA,no,2,2.5253,Parks.geojson
HOA,Steeplechase,no,1,9.7554,Parks.geojson
HOA,Unknown,no,83,305.0294,Parks.geojson
HOA,Waterleaf Falls HOA,no,1,4.0293,Parks.geojson
Private,Plum Creek Dev Partners LTD,no,1,267.1008,Parks.geojson
Public,City of Kyle,yes,13,318.5691,Parks.geojson
Public-Undeveloped,City of Kyle,yes,21,405.0821,Parks.geojson
To be deeded to City,Unknown,no,1,48.2905,Parks.geojson
