trail_id,trail_name_or_area,trail_type,status,material,width,funding,phase,shape_length_source_units,geometry_type,center_lat,center_lon,bbox_west,bbox_south,bbox_east,bbox_north,source_file,dashboard_use,gpt_use_note
PARD-TRL-2,Waterleaf,Vybe,In Review,Concrete,8,City,1,195.09443680946202,LineString,29.9691549,-97.8398687,-97.8399224,29.9688937,-97.839815,29.9694162,VybeTrails.geojson,trail corridor proximity/reference only,Use for trail area/status context. Use GeoJSON geometry and a buffer for exact trail-corridor analysis.
PARD-TRL-3,Waterleaf,Vybe,In Review,Concrete,8,City,1,476.1911626644892,LineString,29.969648,-97.8404595,-97.8411039,29.9694162,-97.839815,29.9698798,VybeTrails.geojson,trail corridor proximity/reference only,Use for trail area/status context. Use GeoJSON geometry and a buffer for exact trail-corridor analysis.
PARD-TRL-4,Waterleaf,Vybe,Proposed,Concrete,8,City,1,164.7908077590263,LineString,29.9705976,-97.8417627,-97.8419843,29.9704799,-97.8415411,29.9707153,VybeTrails.geojson,trail corridor proximity/reference only,Use for trail area/status context. Use GeoJSON geometry and a buffer for exact trail-corridor analysis.
PARD-TRL-5,Waterleaf,Vybe,Proposed,Concrete,,City,1,853.1772604751766,LineString,29.9695077,-97.8423176,-97.8435312,29.9691353,-97.8411039,29.9698801,VybeTrails.geojson,trail corridor proximity/reference only,Use for trail area/status context. Use GeoJSON geometry and a buffer for exact trail-corridor analysis.
PARD-TRL-6,GreggClarke,Vybe,Upgrade,Concrete,8,City,,1676.050097325078,LineString,29.9911706,-97.8867817,-97.8875892,29.9905061,-97.8859741,29.991835,VybeTrails.geojson,trail corridor proximity/reference only,Use for trail area/status context. Use GeoJSON geometry and a buffer for exact trail-corridor analysis.
PARD-TRL-7,Lake Kyle,Vybe,Upgrade,Concrete,6,City,1,1306.6579304401505,LineString,29.9855959,-97.860843,-97.8620668,29.9842299,-97.8596191,29.9869618,VybeTrails.geojson,trail corridor proximity/reference only,Use for trail area/status context. Use GeoJSON geometry and a buffer for exact trail-corridor analysis.
PARD-TRL-10,Lake Kyle,Vybe,Proposed,Concrete,6,City,1,844.8460331198705,LineString,29.9844654,-97.8607851,-97.8619512,29.9841596,-97.8596191,29.9847712,VybeTrails.geojson,trail corridor proximity/reference only,Use for trail area/status context. Use GeoJSON geometry and a buffer for exact trail-corridor analysis.
PARD-TRL-20,Lake Kyle,Vybe,Proposed,Concrete,12,City,1,245.83517882632952,LineString,29.9847273,-97.8623196,-97.862688,29.9846833,-97.8619512,29.9847712,VybeTrails.geojson,trail corridor proximity/reference only,Use for trail area/status context. Use GeoJSON geometry and a buffer for exact trail-corridor analysis.
PARD-TRL-31,Lake Kyle,Vybe,Proposed,Concrete,12,City,1,305.03109938855766,LineString,29.9843045,-97.8642856,-97.8646982,29.9842214,-97.863873,29.9843875,VybeTrails.geojson,trail corridor proximity/reference only,Use for trail area/status context. Use GeoJSON geometry and a buffer for exact trail-corridor analysis.
PARD-TRL-32,Lake Kyle,Vybe,Proposed,Concrete,12,City,1,42.8830334464534,LineString,29.9843817,-97.8638173,-97.863873,29.9843481,-97.8637616,29.9844152,VybeTrails.geojson,trail corridor proximity/reference only,Use for trail area/status context. Use GeoJSON geometry and a buffer for exact trail-corridor analysis.
PARD-TRL-33,Lake Kyle,Vybe,Proposed,Concrete,12,City,1,33.80593509200535,LineString,29.984437,-97.8637145,-97.8637616,29.9844152,-97.8636673,29.9844587,VybeTrails.geojson,trail corridor proximity/reference only,Use for trail area/status context. Use GeoJSON geometry and a buffer for exact trail-corridor analysis.
PARD-TRL-34,Lake Kyle,Vybe,Proposed,Concrete,12,City,1,328.6882943128891,LineString,29.984571,-97.8631777,-97.8636673,29.9844587,-97.862688,29.9846833,VybeTrails.geojson,trail corridor proximity/reference only,Use for trail area/status context. Use GeoJSON geometry and a buffer for exact trail-corridor analysis.
PARD-TRL-36,Bunton Creek,Vybe,Proposed,Concrete,8,City,1,1172.6381947492807,LineString,29.9780325,-97.8430845,-97.8441736,29.9769781,-97.8419954,29.979087,VybeTrails.geojson,trail corridor proximity/reference only,Use for trail area/status context. Use GeoJSON geometry and a buffer for exact trail-corridor analysis.
PARD-TRL-39,Waterleaf,Vybe,In Review,Concrete,8,City,1,1639.527896932776,LineString,29.97254,-97.8422839,-97.8431628,29.9704799,-97.8414049,29.9746,VybeTrails.geojson,trail corridor proximity/reference only,Use for trail area/status context. Use GeoJSON geometry and a buffer for exact trail-corridor analysis.
PARD-TRL-42,Waterleaf,Vybe,Proposed,Concrete,8,City,1,784.971802350969,LineString,29.9737846,-97.8438757,-97.844657,29.9729692,-97.8430944,29.9746,VybeTrails.geojson,trail corridor proximity/reference only,Use for trail area/status context. Use GeoJSON geometry and a buffer for exact trail-corridor analysis.
PARD-TRL-44,Bunton Reserve,Vybe,Upgrade,Concrete,6,City,,260.73585865111045,LineString,29.9749032,-97.8421865,-97.8425669,29.9747739,-97.8418061,29.9750324,VybeTrails.geojson,trail corridor proximity/reference only,Use for trail area/status context. Use GeoJSON geometry and a buffer for exact trail-corridor analysis.
PARD-TRL-48,Lehman Farm,Vybe,In Review,Concrete,,City,2,1095.284153862978,LineString,29.9895093,-97.8575429,-97.858759,29.98845,-97.8563269,29.9905686,VybeTrails.geojson,trail corridor proximity/reference only,Use for trail area/status context. Use GeoJSON geometry and a buffer for exact trail-corridor analysis.
PARD-TRL-49,Proposed,Vybe,In Review,Concrete,,City,1,1945.7410270155035,LineString,30.0013245,-97.8640719,-97.8657606,29.999484,-97.8623833,30.003165,VybeTrails.geojson,trail corridor proximity/reference only,Use for trail area/status context. Use GeoJSON geometry and a buffer for exact trail-corridor analysis.
PARD-TRL-50,Proposed,Vybe,In Review,Concrete,,City,2,4971.908985568035,LineString,30.0048056,-97.8793541,-97.8859438,30.0037379,-97.8727644,30.0058732,VybeTrails.geojson,trail corridor proximity/reference only,Use for trail area/status context. Use GeoJSON geometry and a buffer for exact trail-corridor analysis.
PARD-TRL-51,Hometown,Vybe,Upgrade,Concrete,6,City,,1284.6389685379359,LineString,30.0025524,-97.8896175,-97.8915344,30.0023014,-97.8877007,30.0028034,VybeTrails.geojson,trail corridor proximity/reference only,Use for trail area/status context. Use GeoJSON geometry and a buffer for exact trail-corridor analysis.
PARD-TRL-52,Hometown,Vybe,Upgrade,Concrete,6,City,,870.2320869774042,LineString,30.0019138,-97.8927927,-97.894051,30.0014379,-97.8915344,30.0023897,VybeTrails.geojson,trail corridor proximity/reference only,Use for trail area/status context. Use GeoJSON geometry and a buffer for exact trail-corridor analysis.
PARD-TRL-53,Six Creeks,Vybe,Proposed,Concrete,,Developer,,7453.9731142104765,LineString,30.0027517,-97.9250515,-97.9339463,29.9990805,-97.9161567,30.0064229,VybeTrails.geojson,trail corridor proximity/reference only,Use for trail area/status context. Use GeoJSON geometry and a buffer for exact trail-corridor analysis.
